Timestamp,Theta,Motor_x,Motor_velocity,Angle_velocity,Control_Output
1733963272.8634746,0.8425242607403902,0,0,12.764463055041322,[-93.41313375],[  0.          -0.84252426   0.         -12.76446306]
1733963272.8944862,0.8425242607403902,0,0,0.0,[-63.95317108],[ 0.         -0.84252426  0.          0.        ]
1733963272.9264097,0.8425242607403902,0,0,0.0,[-65.83382855],[ 0.         -0.84252426  0.          0.        ]
1733963272.9584098,0.4212849041685729,0,0,-13.163703215862252,[-7.64018676],[ 0.         -0.4212849   0.         13.16370322]
1733963272.9904146,0.8425242607403902,0,0,13.161741967450347,[-91.35891494],[  0.          -0.84252426   0.         -13.16174197]
1733963273.0237527,0.8425242607403902,0,0,0.0,[-68.75093726],[ 0.         -0.84252426  0.          0.        ]
1733963273.0547523,0.8425242607403902,0,0,0.0,[-63.92858732],[ 0.         -0.84252426  0.          0.        ]
1733963273.087015,0.8425242607403902,0,0,0.0,[-66.53299063],[ 0.         -0.84252426  0.          0.        ]
1733963273.11923,0.8425242607403902,0,0,0.0,[-66.43514727],[ 0.         -0.84252426  0.          0.        ]
1733963273.150208,0.8425242607403902,0,0,0.0,[-63.88384488],[ 0.         -0.84252426  0.          0.        ]
1733963273.182212,0.6319131218209577,0,0,-6.580751237861448,[-36.82337348],[ 0.         -0.63191312  0.          6.58075124]
1733963273.2311997,0.4212849041685729,0,0,-4.299620749661838,[-37.83550556],[ 0.         -0.4212849   0.          4.29962075]
1733963273.2632,0.6319131218209577,0,0,6.582069422453365,[-62.17489835],[ 0.         -0.63191312  0.         -6.58206942]
1733963273.2941992,0.6319131218209577,0,0,0.0,[-47.94721491],[ 0.         -0.63191312  0.          0.        ]
1733963273.3262026,0.6319131218209577,0,0,0.0,[-49.50046571],[ 0.         -0.63191312  0.          0.        ]
1733963273.3592439,0.8394385337122969,0,0,6.280799979777694,[-80.38169123],[ 0.         -0.83943853  0.         -6.28079998]
1733963273.3921988,0.8425242607403902,0,0,0.09363475844714549,[-68.14656738],[ 0.         -0.84252426  0.         -0.09363476]
1733963273.4222207,0.4212849041685729,0,0,-14.031066448222296,[-5.6003621],[ 0.         -0.4212849   0.         14.03106645]
1733963273.4555662,0.4212849041685729,0,0,0.0,[-34.38494838],[ 0.        -0.4212849  0.         0.       ]
1733963273.486563,0.8425242607403902,0,0,13.589769388713174,[-89.28011238],[  0.          -0.84252426   0.         -13.58976939]
1733963273.5185614,0.8425242607403902,0,0,0.0,[-65.98821455],[ 0.         -0.84252426  0.          0.        ]
1733963273.5506003,0.41820994149711055,0,0,-13.24371188232983,[-7.25401395],[ 0.         -0.41820994  0.         13.24371188]
1733963273.5825608,0.4212849041685729,0,0,0.09621138239463192,[-33.14190479],[ 0.         -0.4212849   0.         -0.09621138]
1733963273.6145768,0.8363753254224093,0,0,12.965077366992972,[-90.53001239],[  0.          -0.83637533   0.         -12.96507737]
1733963273.663504,0.4212849041685729,0,0,-8.483860410918554,[-25.46500952],[ 0.         -0.4212849   0.          8.48386041]
1733963273.6944973,0.8487642715535912,0,0,13.792566083113726,[-90.12224143],[  0.          -0.84876427   0.         -13.79256608]
1733963273.7256947,0.8425242607403902,0,0,-0.20001759492745422,[-63.96055491],[ 0.         -0.84252426  0.          0.20001759]
1733963273.7586448,0.8425242607403902,0,0,0.0,[-67.95098178],[ 0.         -0.84252426  0.          0.        ]
1733963273.791693,0.4212849041685729,0,0,-12.746229949547663,[-8.72094718],[ 0.         -0.4212849   0.         12.74622995]
1733963273.8227036,0.6319131218209577,0,0,6.792130084357938,[-60.6441424],[ 0.         -0.63191312  0.         -6.79213008]
1733963273.855694,0.4212849041685729,0,0,-6.384519814791058,[-21.33964981],[ 0.         -0.4212849   0.          6.38451981]
1733963273.8876324,0.6365935759635022,0,0,6.741391196889788,[-62.72666324],[ 0.         -0.63659358  0.         -6.7413912 ]
1733963273.9186356,0.42440541936147724,0,0,-6.84406464305159,[-19.43338291],[ 0.         -0.42440542  0.          6.84406464]
1733963273.9506314,0.8487642715535912,0,0,13.262965955177291,[-92.01670644],[  0.          -0.84876427   0.         -13.26296596]
1733963273.9818127,0.4212849041685729,0,0,-13.70946308830172,[-6.42030377],[ 0.         -0.4212849   0.         13.70946309]
1733963274.0148168,0.8425242607403902,0,0,12.763264332087928,[-93.41952553],[  0.          -0.84252426   0.         -12.76326433]
1733963274.0619712,0.8425242607403902,0,0,0.0,[-97.24351264],[ 0.         -0.84252426  0.          0.        ]
1733963274.0940225,0.8615257345672376,0,0,0.5928451918639113,[-68.73189755],[ 0.         -0.86152573  0.         -0.59284519]
1733963274.126219,0.8550973962667001,0,0,-0.19965940261028034,[-67.00067961],[ 0.        -0.8550974  0.         0.1996594]
1733963274.158219,0.8425242607403902,0,0,-0.3929096889429414,[-65.23478886],[ 0.         -0.84252426  0.          0.39290969]
1733963274.200219,0.627300987225567,0,0,-5.1243859956648325,[-51.5321958],[ 0.         -0.62730099  0.          5.124386  ]
1733963274.3099864,0.4212849041685729,0,0,-1.8768415180567308,[-100.78765925],[ 0.         -0.4212849   0.          1.87684152]
1733963274.4199097,0.6365935759635022,0,0,1.9587162041248256,[-184.24151234],[ 0.         -0.63659358  0.         -1.9587162 ]
1733963274.5299816,0.41820994149711055,0,0,-1.9840089924230775,[-99.52865801],[ 0.         -0.41820994  0.          1.98400899]
1733963274.641994,0.4212849041685729,0,0,0.027451987877681803,[-115.68928423],[ 0.         -0.4212849   0.         -0.02745199]
