Timestamp,Theta,Motor_x,Motor_velocity,Angle_velocity,Control_Output
1733962807.0751593,359.16056146628773,0,0,820.105730397611,[-202836.13553279],[   0.         -359.16056147    0.         -820.1057304 ]
1733962807.0865939,358.9468873676762,0,0,-18.686699885378488,[-10033.41598622],[   0.         -358.94688737    0.           18.68669989]
1733962807.1176815,359.1574757392596,0,0,6.7740231249533585,[-27341.96856737],[   0.         -359.15747574    0.           -6.77402312]
1733962807.14912,359.1574757392596,0,0,0.0,[-27637.81546754],[   0.         -359.15747574    0.            0.        ]
1733962807.1813364,359.36808687817904,0,0,6.537407159403008,[-28350.80013838],[   0.         -359.36808688    0.           -6.53740716]
1733962807.2127395,359.1574757392596,0,0,-6.706706518778045,[-27593.90762532],[   0.         -359.15747574    0.            6.70670652]
1733962807.246549,359.1574757392596,0,0,0.0,[-29722.0273921],[   0.         -359.15747574    0.            0.        ]
1733962807.2767384,358.9468873676762,0,0,-6.975546889103119,[-26511.50951857],[   0.         -358.94688737    0.            6.97554689]
1733962807.3089416,358.9468873676762,0,0,0.0,[-28293.38711328],[   0.         -358.94688737    0.            0.        ]
1733962807.3405817,358.9507440591199,0,0,0.12189269937909698,[-27799.14502121],[ 0.00000000e+00 -3.58950744e+02  0.00000000e+00 -1.21892699e-01]
1733962807.371686,358.9507440591199,0,0,0.0,[-27328.22415022],[   0.         -358.95074406    0.            0.        ]
1733962807.404948,359.3704013915897,0,0,12.616714296416752,[-29283.39497527],[   0.         -359.37040139    0.          -12.6167143 ]
1733962807.4379153,359.3704013915897,0,0,0.0,[-28998.9198747],[   0.         -359.37040139    0.            0.        ]
1733962807.4698696,358.74554837731847,0,0,-19.554590133033678,[-28021.33637616],[   0.         -358.74554838    0.           19.55459013]
1733962807.5151362,358.73632744834174,0,0,-0.20370258024680646,[-39746.8937913],[ 0.00000000e+00 -3.58736327e+02  0.00000000e+00  2.03702580e-01]
1733962807.548251,359.1574757392596,0,0,12.71787607143618,[-29136.61972674],[   0.         -359.15747574    0.          -12.71787607]
1733962807.5793622,358.9507440591199,0,0,-6.64491925003136,[-27321.85423834],[   0.         -358.95074406    0.            6.64491925]
1733962807.613275,359.3704013915897,0,0,12.3745644941149,[-29855.9283418],[   0.         -359.37040139    0.          -12.37456449]
1733962807.6462767,359.3704013915897,0,0,0.0,[-29029.11943689],[   0.         -359.37040139    0.            0.        ]
1733962807.6751616,358.9507440591199,0,0,-14.528612224374319,[-25352.96587829],[   0.         -358.95074406    0.           14.52861222]
1733962807.7091596,358.9468873676762,0,0,-0.11343873230480934,[-29870.06039432],[ 0.00000000e+00 -3.58946887e+02  0.00000000e+00  1.13438732e-01]
1733962807.7401595,359.1574757392596,0,0,6.793195429160943,[-27264.83763533],[   0.         -359.15747574    0.           -6.79319543]
1733962807.7741597,358.9468873676762,0,0,-6.1937467956397185,[-29859.50097657],[   0.         -358.94688737    0.            6.1937468 ]
1733962807.8051596,358.9507440591199,0,0,0.12440980710490607,[-27236.7065772],[ 0.00000000e+00 -3.58950744e+02  0.00000000e+00 -1.24409807e-01]
1733962807.83716,359.1574757392596,0,0,6.460255646972077,[-28144.2753695],[   0.         -359.15747574    0.           -6.46025565]
1733962807.8691864,358.9507440591199,0,0,-6.455061587581086,[-28125.81652813],[   0.         -358.95074406    0.            6.45506159]
1733962807.9011595,359.1574757392596,0,0,6.46579555524844,[-28120.17195324],[   0.         -359.15747574    0.           -6.46579556]
1733962807.9501572,358.9468873676762,0,0,-4.297928817853026,[-43036.12956155],[   0.         -358.94688737    0.            4.29792882]
1733962807.981157,359.36808687817904,0,0,13.587125290911029,[-27293.49659164],[   0.         -359.36808688    0.          -13.58712529]
1733962808.0131593,359.3704013915897,0,0,0.07232354784412914,[-28150.11595365],[ 0.00000000e+00 -3.59370401e+02  0.00000000e+00 -7.23235478e-02]
1733962808.0431678,359.16056146628773,0,0,-6.992670226463643,[-26368.25999092],[   0.         -359.16056147    0.            6.99267023]
1733962808.076252,359.3704013915897,0,0,6.342611163145219,[-29114.31404747],[   0.         -359.37040139    0.           -6.34261116]
1733962808.1091628,359.1574757392596,0,0,-6.469775824561392,[-28919.24659769],[   0.         -359.15747574    0.            6.46977582]
1733962808.140172,359.1574757392596,0,0,0.0,[-27260.33500936],[   0.         -359.15747574    0.            0.        ]
1733962808.17327,358.73632744834174,0,0,-12.724288923233075,[-29037.12550787],[   0.         -358.73632745    0.           12.72428892]
1733962808.2041595,359.1574757392596,0,0,13.634022547005134,[-27180.47030076],[   0.         -359.15747574    0.          -13.63402255]
1733962808.2378294,359.36808687817904,0,0,6.255166634195319,[-29629.44975516],[   0.         -359.36808688    0.           -6.25516663]
1733962808.2688317,358.73632744834174,0,0,-20.37783565405948,[-27184.26825546],[   0.         -358.73632745    0.           20.37783565]
1733962808.3008442,359.5787150958314,0,0,26.314365676744362,[-28226.02664533],[   0.         -359.5787151     0.          -26.31436568]
1733962808.3339136,359.36808687817904,0,0,-6.369283835332682,[-29075.81311322],[   0.         -359.36808688    0.            6.36928384]
1733962808.3808463,359.5787150958314,0,0,4.487877956881631,[-41319.83053338],[   0.         -359.5787151     0.           -4.48787796]
1733962808.4118333,359.1574757392596,0,0,-13.594056415195011,[-27215.48525626],[   0.         -359.15747574    0.           13.59405642]
1733962808.4449544,359.1574757392596,0,0,0.0,[-29116.92684643],[   0.         -359.15747574    0.            0.        ]
1733962808.476935,359.1636246745776,0,0,0.19227130673308063,[-28115.07620648],[ 0.00000000e+00 -3.59163625e+02  0.00000000e+00 -1.92271307e-01]
1733962808.507935,359.1636246745776,0,0,0.0,[-27252.83697492],[   0.         -359.16362467    0.            0.        ]
1733962808.540927,359.1636246745776,0,0,0.0,[-29003.82294742],[   0.         -359.16362467    0.            0.        ]
1733962808.5719278,359.1636246745776,0,0,0.0,[-27253.46577045],[   0.         -359.16362467    0.            0.        ]
1733962808.6049287,359.5787150958314,0,0,12.578137023368194,[-29070.30429597],[   0.         -359.5787151     0.          -12.57813702]
1733962808.6380033,359.1574757392596,0,0,-12.736031127961654,[-29050.69841108],[   0.         -359.15747574    0.           12.73603113]
1733962808.6690176,359.1574757392596,0,0,0.0,[-27264.73650276],[   0.         -359.15747574    0.            0.        ]
1733962808.7011697,359.1636246745776,0,0,0.19124476478576038,[-28265.9871354],[ 0.00000000e+00 -3.59163625e+02  0.00000000e+00 -1.91244765e-01]
1733962808.7332468,359.1574757392596,0,0,-0.19169252495483535,[-28198.74052547],[ 0.00000000e+00 -3.59157476e+02  0.00000000e+00  1.91692525e-01]
1733962808.7632174,359.5787150958314,0,0,14.055064342405934,[-26403.59853345],[   0.         -359.5787151     0.          -14.05506434]
1733962808.8112051,359.1574757392596,0,0,-8.77806939871559,[-42160.86090923],[   0.         -359.15747574    0.            8.7780694 ]
1733962808.8431401,359.36808687817904,0,0,6.59499901014843,[-28103.33309757],[   0.         -359.36808688    0.           -6.59499901]
1733962808.8751407,359.1636246745776,0,0,-6.389335705665198,[-28120.00428299],[   0.         -359.16362467    0.            6.38933571]
1733962808.90714,359.1636246745776,0,0,0.0,[-28131.26434034],[   0.         -359.16362467    0.            0.        ]
1733962808.9391406,359.5787150958314,0,0,12.971356088709074,[-28189.81251602],[   0.         -359.5787151     0.          -12.97135609]
1733962808.9708228,359.1574757392596,0,0,-13.295751350615047,[-27826.66405474],[   0.         -359.15747574    0.           13.29575135]
1733962809.0028293,359.36808687817904,0,0,6.5802610332923495,[-28166.24844693],[   0.         -359.36808688    0.           -6.58026103]
1733962809.0358949,359.1574757392596,0,0,-6.36950213368471,[-29055.41303059],[   0.         -359.15747574    0.            6.36950213]
1733962809.0679028,359.1574757392596,0,0,0.0,[-28138.32814612],[   0.         -359.15747574    0.            0.        ]
1733962809.0999115,359.1574757392596,0,0,0.0,[-28138.9569309],[   0.         -359.15747574    0.            0.        ]
1733962809.1311257,359.1574757392596,0,0,0.0,[-27440.58664402],[   0.         -359.15747574    0.            0.        ]
1733962809.1630666,359.1574757392596,0,0,0.0,[-28079.43197247],[   0.         -359.15747574    0.            0.        ]
1733962809.2112265,359.1574757392596,0,0,0.0,[-42337.54586955],[   0.         -359.15747574    0.            0.        ]
1733962809.2437623,359.1574757392596,0,0,0.0,[-28602.37130793],[   0.         -359.15747574    0.            0.        ]
1733962809.2757041,359.36808687817904,0,0,6.593571457255374,[-28109.41491468],[   0.         -359.36808688    0.           -6.59357146]
1733962809.3066962,359.1574757392596,0,0,-6.795654607387733,[-27232.56597629],[   0.         -359.15747574    0.            6.79565461]
1733962809.3403285,359.36808687817904,0,0,6.262172789757354,[-29596.31433783],[   0.         -359.36808688    0.           -6.26217279]
1733962809.3707075,359.3704013915897,0,0,0.07618779661176059,[-26722.3477634],[ 0.00000000e+00 -3.59370401e+02  0.00000000e+00 -7.61877966e-02]
1733962809.4046395,359.1574757392596,0,0,-6.275074762479222,[-29816.94165732],[   0.         -359.15747574    0.            6.27507476]
1733962809.435636,359.1574757392596,0,0,0.0,[-27249.22647838],[   0.         -359.15747574    0.            0.        ]
1733962809.4697247,359.1574757392596,0,0,0.0,[-29967.46304814],[   0.         -359.15747574    0.            0.        ]
1733962809.4997005,359.1574757392596,0,0,0.0,[-26351.95060861],[   0.         -359.15747574    0.            0.        ]
1733962809.5316863,359.1574757392596,0,0,0.0,[-28118.83581819],[   0.         -359.15747574    0.            0.        ]
1733962809.563677,359.1574757392596,0,0,0.0,[-28123.23731159],[   0.         -359.15747574    0.            0.        ]
1733962809.5956771,359.1574757392596,0,0,0.0,[-28131.41151363],[   0.         -359.15747574    0.            0.        ]
1733962809.6436772,359.1574757392596,0,0,0.0,[-42197.11727045],[   0.         -359.15747574    0.            0.        ]
1733962809.6756773,359.5787150958314,0,0,13.163703215861364,[-28189.76298315],[   0.         -359.5787151     0.          -13.16370322]
1733962809.7078319,359.36808687817904,0,0,-6.55049290267487,[-28271.12579494],[   0.         -359.36808688    0.            6.5504929 ]
1733962809.7390857,359.1574757392596,0,0,-6.738733846075395,[-27462.70120288],[   0.         -359.15747574    0.            6.73873385]
1733962809.7711477,359.1574757392596,0,0,0.0,[-28185.90619388],[   0.         -359.15747574    0.            0.        ]
1733962809.8040826,359.1574757392596,0,0,0.0,[-28953.23321076],[   0.         -359.15747574    0.            0.        ]
1733962809.8360794,359.1574757392596,0,0,0.0,[-28128.47718469],[   0.         -359.15747574    0.            0.        ]
1733962809.8680866,359.1574757392596,0,0,0.0,[-28137.69936135],[   0.         -359.15747574    0.            0.        ]
1733962809.8992004,359.5787150958314,0,0,13.538638924042578,[-27409.78492164],[   0.         -359.5787151     0.          -13.53863892]
1733962809.931168,359.5787150958314,0,0,0.0,[-28135.86721622],[   0.        -359.5787151    0.           0.       ]
1733962809.963012,359.5787150958314,0,0,0.0,[-28026.95986784],[   0.        -359.5787151    0.           0.       ]
1733962809.9960122,359.1574757392596,0,0,-12.764739715391476,[-28985.30479478],[   0.         -359.15747574    0.           12.76473972]
1733962810.0280182,359.36808687817904,0,0,6.580359068363575,[-28165.82901127],[   0.         -359.36808688    0.           -6.58035907]
1733962810.0749524,359.36808687817904,0,0,0.0,[-41284.21337717],[   0.         -359.36808688    0.            0.        ]
1733962810.1070342,359.1574757392596,0,0,-6.5648080975493,[-28190.62437404],[   0.         -359.15747574    0.            6.5648081 ]
