Timestamp,Theta,Motor_x,Motor_velocity,Angle_velocity,Control_Output
1733963063.4078808,355.40945681439393,0,0,0.0,[-28794.61535276],[   0.         -355.40945681    0.            0.        ]
1733963063.4397783,355.40945681439393,0,0,0.0,[-27748.65843231],[   0.         -355.40945681    0.            0.        ]
1733963063.4727786,355.40945681439393,0,0,0.0,[-28707.91894334],[   0.         -355.40945681    0.            0.        ]
1733963063.503775,355.40945681439393,0,0,0.0,[-26964.65740924],[   0.         -355.40945681    0.            0.        ]
1733963063.5347753,355.40945681439393,0,0,0.0,[-26968.18333977],[   0.         -355.40945681    0.            0.        ]
1733963063.5657854,355.40945681439393,0,0,0.0,[-26976.68705457],[   0.         -355.40945681    0.            0.        ]
1733963063.5978694,355.40945681439393,0,0,0.0,[-27910.85123655],[   0.         -355.40945681    0.            0.        ]
1733963063.6298592,355.40945681439393,0,0,0.0,[-27828.92520372],[   0.         -355.40945681    0.            0.        ]
1733963063.6608574,355.40945681439393,0,0,0.0,[-26966.31667066],[   0.         -355.40945681    0.            0.        ]
1733963063.6928663,355.40945681439393,0,0,0.0,[-27845.51781796],[   0.         -355.40945681    0.            0.        ]
1733963063.7258804,355.40945681439393,0,0,0.0,[-28719.94858866],[   0.         -355.40945681    0.            0.        ]
1733963063.756775,355.40945681439393,0,0,0.0,[-26876.09433071],[   0.         -355.40945681    0.            0.        ]
1733963063.8057802,355.40945681439393,0,0,0.0,[-42631.19637151],[   0.         -355.40945681    0.            0.        ]
1733963063.8378541,354.9941674470489,0,0,-12.94786107436985,[-27844.53772762],[   0.         -354.99416745    0.           12.94786107]
1733963063.8707802,355.40945681439393,0,0,12.612777907726372,[-28668.41440799],[   0.         -355.40945681    0.          -12.61277791]
1733963063.901855,354.9941674470489,0,0,-13.364200914650693,[-26976.30784623],[   0.         -354.99416745    0.           13.36420091]
1733963063.933837,354.9941674470489,0,0,0.0,[-27789.57116431],[   0.         -354.99416745    0.            0.        ]
1733963063.965794,354.9941674470489,0,0,0.0,[-27768.0259704],[   0.         -354.99416745    0.            0.        ]
1733963063.9987757,355.40945681439393,0,0,12.591533990767537,[-28716.74039698],[   0.         -355.40945681    0.          -12.59153399]
1733963064.029782,354.9941674470489,0,0,-13.393693614862187,[-26916.85139766],[   0.         -354.99416745    0.           13.39369361]
1733963064.0617764,354.9941674470489,0,0,0.0,[-27800.34376126],[   0.         -354.99416745    0.            0.        ]
1733963064.0938857,354.9941674470489,0,0,0.0,[-27900.19744841],[   0.         -354.99416745    0.            0.        ]
1733963064.1247766,354.9941674470489,0,0,0.0,[-26841.58263239],[   0.         -354.99416745    0.            0.        ]
1733963064.1578665,355.20174896312795,0,0,6.273263610347535,[-28781.57703991],[   0.         -355.20174896    0.           -6.27326361]
1733963064.1897812,354.9941674470489,0,0,-6.504258054807441,[-27718.65471861],[   0.         -354.99416745    0.            6.50425805]
1733963064.2368424,354.9941674470489,0,0,0.0,[-40892.15653972],[   0.         -354.99416745    0.            0.        ]
1733963064.26986,354.9941674470489,0,0,0.0,[-28689.49734058],[   0.         -354.99416745    0.            0.        ]
1733963064.30267,354.9941674470489,0,0,0.0,[-28509.05634161],[   0.         -354.99416745    0.            0.        ]
1733963064.333745,354.9941674470489,0,0,0.0,[-27001.51426409],[   0.         -354.99416745    0.            0.        ]
1733963064.3656707,354.9941674470489,0,0,0.0,[-27740.68014736],[   0.         -354.99416745    0.            0.        ]
1733963064.3967078,355.3758486715709,0,0,12.297583225694105,[-27020.54707981],[   0.         -355.37584867    0.          -12.29758323]
1733963064.4287486,356.21388796461844,0,0,26.155351695350255,[-27986.84630237],[   0.         -356.21388796    0.          -26.1553517 ]
1733963064.4606748,357.283624116019,0,0,33.50657629688983,[-27984.39966409],[   0.         -357.28362412    0.          -33.5065763 ]
1733963064.4926682,358.74554837731847,0,0,45.69457319372146,[-28181.28864579],[   0.         -358.74554838    0.          -45.69457319]
1733963064.5237458,0.41820994149711055,0,0,-11530.075327856135,[21538.48600788],[ 0.00000000e+00 -4.18209941e-01  0.00000000e+00  1.15300753e+04]
1733963064.5558646,2.94644738001233,0,0,78.71519642295006,[-383.83287367],[  0.          -2.94644738   0.         -78.71519642]
1733963064.5879176,5.005832552951091,0,0,64.24938610828427,[-516.70516194],[  0.          -5.00583255   0.         -64.24938611]
1733963064.6209345,7.539445139509297,0,0,76.7367937310098,[-761.81708621],[  0.          -7.53944514   0.         -76.73679373]
1733963064.6688635,9.668668661083615,0,0,44.42448966782527,[-1262.45579222],[  0.          -9.66866866   0.         -44.42448967]
1733963064.7008636,11.350887277276087,0,0,52.569225221434905,[-990.33579002],[  0.         -11.35088728   0.         -52.56922522]
1733963064.7328649,12.300538878998083,0,0,29.675446918255254,[-1020.65573159],[  0.         -12.30053888   0.         -29.67544692]
1733963064.7658648,13.120403152977275,0,0,24.844377682628828,[-1109.1360986],[  0.         -13.12040315   0.         -24.84437768]
1733963064.797942,13.120403152977275,0,0,0.0,[-1030.14339278],[  0.         -13.12040315   0.           0.        ]
1733963064.8279283,13.120403152977275,0,0,0.0,[-963.00157421],[  0.         -13.12040315   0.           0.        ]
1733963064.8609304,13.528315466372703,0,0,12.360178352444345,[-1117.3573593],[  0.         -13.52831547   0.         -12.36017835]
1733963064.8928695,13.93483511450134,0,0,12.727989924191428,[-1113.85111278],[  0.         -13.93483511   0.         -12.72798992]
1733963064.924869,14.339928501342229,0,0,12.659331322646244,[-1147.55970574],[  0.         -14.3399285    0.         -12.65933132]
