Timestamp,Theta,Motor_x,Motor_velocity,Angle_velocity,Control_Output
1733962868.885337,358.74554837731847,0,0,769.8050811594418,[-214650.36020137],[   0.         -358.74554838    0.         -769.80508116]
1733962868.9127002,359.1636246745776,0,0,15.27885653703626,[-24080.5786863],[   0.         -359.16362467    0.          -15.27885654]
1733962868.9439368,359.1636246745776,0,0,0.0,[-27460.75869921],[   0.         -359.16362467    0.            0.        ]
1733962868.9734068,359.3634064240365,0,0,6.779164368092909,[-25934.07092578],[   0.         -359.36340642    0.           -6.77916437]
1733962869.00578,359.1574757392596,0,0,-6.361149001586654,[-28447.03112139],[   0.         -359.15747574    0.            6.361149  ]
1733962869.038784,359.1574757392596,0,0,0.0,[-29014.01573873],[   0.         -359.15747574    0.            0.        ]
1733962869.0698345,359.1636246745776,0,0,0.19803051407032288,[-27297.43240965],[ 0.00000000e+00 -3.59163625e+02  0.00000000e+00 -1.98030514e-01]
1733962869.1027875,359.1636246745776,0,0,0.0,[-28969.6583899],[   0.         -359.16362467    0.            0.        ]
1733962869.1327834,359.1636246745776,0,0,0.0,[-26370.00804073],[   0.         -359.16362467    0.            0.        ]
1733962869.166853,359.16056146628773,0,0,-0.08991047308562403,[-29950.76838123],[ 0.00000000e+00 -3.59160561e+02  0.00000000e+00  8.99104731e-02]
1733962869.1967988,359.1574757392596,0,0,-0.10304355995094823,[-26325.35589608],[ 0.00000000e+00 -3.59157476e+02  0.00000000e+00  1.03043560e-01]
1733962869.2308545,359.1574757392596,0,0,0.0,[-29938.53894863],[   0.         -359.15747574    0.            0.        ]
1733962869.262779,359.16056146628773,0,0,0.09665706168705984,[-28065.39679699],[ 0.00000000e+00 -3.59160561e+02  0.00000000e+00 -9.66570617e-02]
1733962869.294784,359.1574757392596,0,0,-0.09641368914368402,[-28135.62725494],[ 0.00000000e+00 -3.59157476e+02  0.00000000e+00  9.64136891e-02]
1733962869.3427799,359.1574757392596,0,0,0.0,[-42193.34456181],[   0.         -359.15747574    0.            0.        ]
1733962869.37378,359.1574757392596,0,0,0.0,[-27252.37040224],[   0.         -359.15747574    0.            0.        ]
